rgb,dense
rgb/r_2011_09_26_0001_2_0000000005.png,dense/gt_r_2011_09_26_0001_2_0000000005.png
rgb/r_2011_09_26_0001_2_0000000006.png,dense/gt_r_2011_09_26_0001_2_0000000006.png
rgb/r_2011_09_26_0001_2_0000000007.png,dense/gt_r_2011_09_26_0001_2_0000000007.png
rgb/r_2011_09_26_0001_2_0000000008.png,dense/gt_r_2011_09_26_0001_2_0000000008.png
rgb/r_2011_09_26_0001_2_0000000009.png,dense/gt_r_2011_09_26_0001_2_0000000009.png
rgb/r_2011_09_26_0001_2_0000000010.png,dense/gt_r_2011_09_26_0001_2_0000000010.png
rgb/r_2011_09_26_0001_2_0000000011.png,dense/gt_r_2011_09_26_0001_2_0000000011.png
rgb/r_2011_09_26_0001_2_0000000012.png,dense/gt_r_2011_09_26_0001_2_0000000012.png
rgb/r_2011_09_26_0001_2_0000000013.png,dense/gt_r_2011_09_26_0001_2_0000000013.png
rgb/r_2011_09_26_0001_2_0000000014.png,dense/gt_r_2011_09_26_0001_2_0000000014.png
rgb/r_2011_09_26_0001_2_0000000015.png,dense/gt_r_2011_09_26_0001_2_0000000015.png
rgb/r_2011_09_26_0001_2_0000000017.png,dense/gt_r_2011_09_26_0001_2_0000000017.png
rgb/r_2011_09_26_0001_2_0000000019.png,dense/gt_r_2011_09_26_0001_2_0000000019.png
rgb/r_2011_09_26_0001_2_0000000020.png,dense/gt_r_2011_09_26_0001_2_0000000020.png
rgb/r_2011_09_26_0001_2_0000000022.png,dense/gt_r_2011_09_26_0001_2_0000000022.png
rgb/r_2011_09_26_0001_2_0000000023.png,dense/gt_r_2011_09_26_0001_2_0000000023.png
rgb/r_2011_09_26_0001_2_0000000024.png,dense/gt_r_2011_09_26_0001_2_0000000024.png
rgb/r_2011_09_26_0001_2_0000000025.png,dense/gt_r_2011_09_26_0001_2_0000000025.png
rgb/r_2011_09_26_0001_2_0000000026.png,dense/gt_r_2011_09_26_0001_2_0000000026.png
rgb/r_2011_09_26_0001_2_0000000028.png,dense/gt_r_2011_09_26_0001_2_0000000028.png
rgb/r_2011_09_26_0001_2_0000000029.png,dense/gt_r_2011_09_26_0001_2_0000000029.png
rgb/r_2011_09_26_0001_2_0000000030.png,dense/gt_r_2011_09_26_0001_2_0000000030.png
rgb/r_2011_09_26_0001_2_0000000031.png,dense/gt_r_2011_09_26_0001_2_0000000031.png
rgb/r_2011_09_26_0001_2_0000000032.png,dense/gt_r_2011_09_26_0001_2_0000000032.png
rgb/r_2011_09_26_0001_2_0000000033.png,dense/gt_r_2011_09_26_0001_2_0000000033.png
rgb/r_2011_09_26_0001_2_0000000034.png,dense/gt_r_2011_09_26_0001_2_0000000034.png
rgb/r_2011_09_26_0001_2_0000000038.png,dense/gt_r_2011_09_26_0001_2_0000000038.png
rgb/r_2011_09_26_0001_2_0000000039.png,dense/gt_r_2011_09_26_0001_2_0000000039.png
rgb/r_2011_09_26_0001_2_0000000040.png,dense/gt_r_2011_09_26_0001_2_0000000040.png
rgb/r_2011_09_26_0001_2_0000000041.png,dense/gt_r_2011_09_26_0001_2_0000000041.png
rgb/r_2011_09_26_0001_2_0000000042.png,dense/gt_r_2011_09_26_0001_2_0000000042.png
rgb/r_2011_09_26_0001_2_0000000044.png,dense/gt_r_2011_09_26_0001_2_0000000044.png
rgb/r_2011_09_26_0001_2_0000000045.png,dense/gt_r_2011_09_26_0001_2_0000000045.png
rgb/r_2011_09_26_0001_2_0000000046.png,dense/gt_r_2011_09_26_0001_2_0000000046.png
rgb/r_2011_09_26_0001_2_0000000048.png,dense/gt_r_2011_09_26_0001_2_0000000048.png
rgb/r_2011_09_26_0001_2_0000000050.png,dense/gt_r_2011_09_26_0001_2_0000000050.png
rgb/r_2011_09_26_0001_2_0000000051.png,dense/gt_r_2011_09_26_0001_2_0000000051.png
rgb/r_2011_09_26_0001_2_0000000052.png,dense/gt_r_2011_09_26_0001_2_0000000052.png
